epoca,train_loss,val_loss,dice_tc,dice_wt,dice_et,dice_medio,lr,guardado
71,0.1095643947664343,0.1437182899837087,0.8878638744354248,0.8857766389846802,0.8359445929527283,0.8698617815971375,0.0003,0
72,0.10806919890837591,0.13916058520354876,0.8890931010246277,0.893447756767273,0.8306807279586792,0.8710739016532898,0.0003,1
73,0.10853769895849658,0.14026461932353856,0.8904238343238831,0.888773500919342,0.8306848406791687,0.8699607253074646,0.0003,0
74,0.10660179020439992,0.1417893045922605,0.8868615031242371,0.8911444544792175,0.8248233199119568,0.8676097393035889,0.0003,0
75,0.10749338970321123,0.13497893348699663,0.8960737586021423,0.8933921456336975,0.8351979851722717,0.8748879432678223,0.0003,1
76,0.10784336179494858,0.13804545798679677,0.891646683216095,0.8893375992774963,0.8305063247680664,0.8704968094825745,0.0003,0
77,0.10576465698417092,0.13959386617672154,0.8918020725250244,0.8908209204673767,0.8231350183486938,0.868586003780365,0.0003,0
78,0.10709693395822752,0.14728431894284924,0.8749235272407532,0.8802470564842224,0.8247022032737732,0.8599576354026794,0.0003,0
79,0.10495220961385086,0.1410691232034346,0.8833426237106323,0.888060986995697,0.8238599896430969,0.8650879263877869,0.0003,0
80,0.10669583393657794,0.1344718572388335,0.8947643041610718,0.8867044448852539,0.8363481760025024,0.8726056218147278,0.0003,0
81,0.10456530881099037,0.1370756599779536,0.8937385082244873,0.8776518702507019,0.8297399282455444,0.8670434355735779,0.0003,0
82,0.11877092712971031,0.16143486149063924,0.8562431335449219,0.8780537843704224,0.7860382795333862,0.8401117324829102,0.0003,0
83,0.11534367446772388,0.14705420430840516,0.8870929479598999,0.8534905314445496,0.8274978995323181,0.8560271263122559,0.0003,0
84,0.11941124016388519,0.14591265497047726,0.8620057702064514,0.8865600228309631,0.8189190030097961,0.8558282852172852,0.0003,0
85,0.13215161163787373,0.13840283707874576,0.8802487254142761,0.8855378031730652,0.827335000038147,0.8643738627433777,0.0003,0
86,0.12434383597774584,0.14147172268570923,0.8716999888420105,0.8888095021247864,0.8282319903373718,0.8629138469696045,0.0003,0
87,0.11821029997873501,0.15319596185553364,0.8515757322311401,0.8837111592292786,0.8049145340919495,0.846733808517456,0.0003,0
88,0.12088487159888275,0.1561927937152909,0.8574596643447876,0.8770952224731445,0.8127056956291199,0.8490868210792542,0.0003,0
89,0.1098731816364605,0.14490571472702957,0.8735649585723877,0.8848855495452881,0.8142184615135193,0.8575563430786133,0.0003,0
90,0.11202666783308396,0.14716164740483936,0.8594234585762024,0.8856796622276306,0.8192448616027832,0.8547826409339905,0.0003,0
91,0.11166202872380858,0.1335535766329707,0.8931216597557068,0.8868860602378845,0.82477867603302,0.8682621121406555,0.0003,0
92,0.11005162661437129,0.13447806039234486,0.8830758929252625,0.8871695399284363,0.8308588266372681,0.8670347332954407,0.0003,0
93,0.10618776424986417,0.13265997889201817,0.8898407816886902,0.8831017017364502,0.8330910205841064,0.8686778545379639,0.0003,0
94,0.10218971879145161,0.129003278820253,0.8928406238555908,0.8881447911262512,0.8301056623458862,0.870363712310791,0.0003,0
95,0.10198413092093389,0.12845873968993746,0.8885738253593445,0.8903378844261169,0.8344283699989319,0.8711133599281311,0.0003,0
96,0.10145837526585234,0.13052924804207755,0.8894369602203369,0.89043790102005,0.8275014162063599,0.8691254258155823,0.0003,0
